Date,Symbol,DownloadSymbol,Open,High,Low,Close,Adj Close,Volume
2016-07-14,EA,EA,77.89,78.3,76.97,78.05,78.05,3200000.0
2016-07-15,EA,EA,78.44,78.73,77.6,77.83,77.83,2700000.0
2016-07-18,EA,EA,78.13,78.86,77.72,78.26,78.26,2190000.0
2016-07-19,EA,EA,77.99,78.11,76.22,76.5,76.5,5140000.0
2016-07-20,EA,EA,77.22,78.22,76.44,76.7,76.7,5480000.0
2016-07-21,EA,EA,76.44,76.93,74.32,75.38,75.38,8600000.0
2016-07-22,EA,EA,75.88,76.68,74.95,76.33,76.33,5820000.0
2016-07-25,EA,EA,76.04,76.91,75.73,76.9,76.9,3420000.0
2016-07-26,EA,EA,76.92,77.35,76.21,76.84,76.84,2110000.0
2016-07-27,EA,EA,77.22,77.37,76.57,76.67,76.67,2320000.0
2016-07-28,EA,EA,76.61,76.72,76.0,76.28,76.28,1270000.0
2016-07-29,EA,EA,76.48,76.53,75.78,76.32,76.32,2910000.0
2016-08-01,EA,EA,76.23,76.82,76.11,76.63,76.63,3760000.0
2016-08-02,EA,EA,76.58,76.94,75.75,76.78,76.78,5940000.0
2016-08-03,EA,EA,76.66,78.98,75.17,78.63,78.63,10450000.0
2016-08-04,EA,EA,78.36,78.72,77.89,78.23,78.23,4540000.0
2016-08-05,EA,EA,78.94,79.99,78.43,79.84,79.84,4290000.0
2016-08-08,EA,EA,79.85,79.99,79.17,79.27,79.27,2920000.0
2016-08-09,EA,EA,79.01,79.36,78.63,78.69,78.69,1980000.0
2016-08-10,EA,EA,78.54,79.1,78.26,78.57,78.57,1430000.0
2016-08-11,EA,EA,78.85,79.16,77.84,77.85,77.85,3210000.0
2016-08-12,EA,EA,78.0,78.4,77.03,77.43,77.43,2029999.9999999998
2016-08-15,EA,EA,77.59,79.56,77.33,79.48,79.48,3230000.0
2016-08-16,EA,EA,78.78,78.89,77.82,78.05,78.05,2970000.0
2016-08-17,EA,EA,78.0,79.86,77.81,79.77,79.77,3550000.0
2016-08-18,EA,EA,79.8,81.8,79.63,80.98,80.98,4740000.0
2016-08-19,EA,EA,80.95,81.89,80.8,81.76,81.76,3240000.0
2016-08-22,EA,EA,81.07,81.82,81.04,81.49,81.49,3220000.0
2016-08-23,EA,EA,81.98,82.61,81.49,82.31,82.31,4600000.0
2016-08-24,EA,EA,82.31,82.62,81.95,82.42,82.42,3310000.0
2016-08-25,EA,EA,82.02,82.2,80.96,81.55,81.55,3300000.0
2016-08-26,EA,EA,81.2,81.51,80.02,81.21,81.21,3040000.0
2016-08-29,EA,EA,81.1,81.96,80.64,81.51,81.51,1980000.0
2016-08-30,EA,EA,82.4,82.4,81.48,81.73,81.73,1710000.0
2016-08-31,EA,EA,81.37,81.68,81.03,81.23,81.23,2080000.0
2016-09-01,EA,EA,81.52,81.99,81.03,81.76,81.76,1810000.0
2016-09-02,EA,EA,82.3,84.18,82.16,83.46,83.46,3520000.0
2016-09-06,EA,EA,83.3,84.45,83.3,83.87,83.87,2650000.0
2016-09-07,EA,EA,83.76,84.27,82.54,82.75,82.75,3050000.0
2016-09-08,EA,EA,82.64,82.64,81.58,82.16,82.16,3190000.0
2016-09-09,EA,EA,81.42,81.79,79.84,79.86,79.86,2210000.0
2016-09-12,EA,EA,79.73,80.92,79.51,80.84,80.84,3370000.0
2016-09-13,EA,EA,80.61,81.12,79.94,80.87,80.87,2710000.0
2016-09-14,EA,EA,81.14,81.77,80.5,80.83,80.83,1410000.0
2016-09-15,EA,EA,80.56,83.67,80.56,83.37,83.37,3170000.0
2016-09-16,EA,EA,83.26,83.36,82.16,82.89,82.89,3730000.0
2016-09-19,EA,EA,83.14,83.41,82.46,82.77,82.77,1870000.0
2016-09-20,EA,EA,82.89,83.39,82.62,82.99,82.99,2170000.0
2016-09-21,EA,EA,83.48,83.63,82.26,83.47,83.47,2660000.0
2016-09-22,EA,EA,84.1,84.2,82.76,83.17,83.17,2190000.0
2016-09-23,EA,EA,84.5,84.5,83.52,84.26,84.26,2640000.0
2016-09-26,EA,EA,83.67,84.25,83.22,83.5,83.5,1840000.0
2016-09-27,EA,EA,83.4,85.53,83.19,85.2,85.2,2450000.0
2016-09-28,EA,EA,85.35,85.6,84.58,85.0,85.0,1800000.0
2016-09-29,EA,EA,84.93,85.13,84.12,84.26,84.26,1320000.0
2016-09-30,EA,EA,84.35,85.83,83.77,85.4,85.4,2860000.0
2016-10-03,EA,EA,85.22,86.05,85.13,85.41,85.41,2049999.9999999998
2016-10-04,EA,EA,85.93,86.07,85.12,85.56,85.56,1720000.0
2016-10-05,EA,EA,85.56,85.75,84.97,85.47,85.47,1960000.0
2016-10-06,EA,EA,85.55,85.64,83.86,84.58,84.58,3190000.0
2016-10-07,EA,EA,85.06,85.19,83.44,83.81,83.81,3080000.0
2016-10-10,EA,EA,84.07,84.92,83.85,84.74,84.74,2280000.0
2016-10-11,EA,EA,84.7,84.8,83.15,83.37,83.37,2310000.0
2016-10-12,EA,EA,85.03,85.03,82.16,82.53,82.53,2400000.0
2016-10-13,EA,EA,82.09,82.52,80.78,81.76,81.76,3030000.0
2016-10-14,EA,EA,82.35,83.98,82.35,82.59,82.59,2660000.0
2016-10-17,EA,EA,82.77,83.22,82.16,82.32,82.32,1980000.0
2016-10-18,EA,EA,83.18,84.4,83.11,84.01,84.01,2190000.0
2016-10-19,EA,EA,84.22,84.36,82.62,82.76,82.76,2270000.0
2016-10-20,EA,EA,82.7,82.82,81.6,82.52,82.52,2470000.0
2016-10-21,EA,EA,82.15,82.99,82.0,82.87,82.87,2710000.0
2016-10-24,EA,EA,81.91,84.37,81.78,84.15,84.15,3050000.0
2016-10-25,EA,EA,84.19,84.79,82.89,82.94,82.94,2820000.0
2016-10-26,EA,EA,82.95,84.11,82.5,82.58,82.58,2029999.9999999998
2016-10-27,EA,EA,83.28,84.43,82.58,82.72,82.72,3160000.0
2016-10-28,EA,EA,80.78,81.42,78.55,79.45,79.45,6930000.0
2016-10-31,EA,EA,79.64,80.14,77.43,78.52,78.52,5380000.0
2016-11-01,EA,EA,78.64,78.76,77.18,77.84,77.84,7230000.0
2016-11-02,EA,EA,78.83,81.93,77.86,79.12,79.12,9450000.0
2016-11-03,EA,EA,79.12,82.29,79.12,80.52,80.52,7210000.0
2016-11-04,EA,EA,79.95,81.72,79.03,80.22,80.22,4690000.0
2016-11-07,EA,EA,81.09,82.03,80.33,81.08,81.08,3750000.0
2016-11-08,EA,EA,81.06,82.45,80.68,81.49,81.49,2200000.0
2016-11-09,EA,EA,78.73,80.99,78.45,79.44,79.44,4450000.0
2016-11-10,EA,EA,79.97,80.06,76.19,76.79,76.79,5530000.0
2016-11-11,EA,EA,75.8,77.94,75.53,77.45,77.45,4040000.0
2016-11-14,EA,EA,77.47,78.08,76.14,76.38,76.38,5040000.0
2016-11-15,EA,EA,77.0,78.42,77.0,77.62,77.62,2640000.0
2016-11-16,EA,EA,77.6,78.94,77.03,78.83,78.83,2450000.0
2016-11-17,EA,EA,78.76,80.17,78.54,79.62,79.62,2640000.0
2016-11-18,EA,EA,79.8,80.61,78.76,78.99,78.99,3180000.0
