Date,Symbol,DownloadSymbol,Open,High,Low,Close,Adj Close,Volume
2016-07-14,WY,WY,32.13999938964844,32.2599983215332,31.959999084472656,32.040000915527344,21.584449768066406,3646100
2016-07-15,WY,WY,32.08000183105469,32.25,31.979999542236328,32.029998779296875,21.577713012695312,3843700
2016-07-18,WY,WY,31.979999542236328,32.29999923706055,31.959999084472656,32.2400016784668,21.719175338745117,2910300
2016-07-19,WY,WY,32.040000915527344,32.220001220703125,31.899999618530273,31.979999542236328,21.544031143188477,2839300
2016-07-20,WY,WY,32.04999923706055,32.349998474121094,31.899999618530273,32.29999923706055,21.759597778320312,3106000
2016-07-21,WY,WY,32.29999923706055,32.47999954223633,32.20000076293945,32.290000915527344,21.752866744995117,2478600
2016-07-22,WY,WY,32.31999969482422,32.5,32.16999816894531,32.43000030517578,21.84718132019043,2396700
2016-07-25,WY,WY,32.349998474121094,32.599998474121094,32.29999923706055,32.4900016784668,21.88759994506836,3615800
2016-07-26,WY,WY,32.5,32.91999816894531,32.41999816894531,32.90999984741211,22.1705379486084,3779400
2016-07-27,WY,WY,32.97999954223633,33.06999969482422,32.470001220703125,32.58000183105469,21.948232650756836,3782700
2016-07-28,WY,WY,32.45000076293945,32.59000015258789,32.119998931884766,32.369998931884766,21.806758880615234,5266300
2016-07-29,WY,WY,32.2400016784668,32.77000045776367,32.2400016784668,32.720001220703125,22.042551040649414,4072500
2016-08-01,WY,WY,32.720001220703125,32.77000045776367,32.58000183105469,32.75,22.062755584716797,2813700
2016-08-02,WY,WY,32.7400016784668,32.83000183105469,32.36000061035156,32.439998626708984,21.853912353515625,3335000
2016-08-03,WY,WY,32.349998474121094,32.560001373291016,31.8799991607666,32.369998931884766,21.806758880615234,3177400
2016-08-04,WY,WY,32.33000183105469,32.72999954223633,32.16999816894531,32.650001525878906,21.99538803100586,3288300
2016-08-05,WY,WY,32.5,33.16999816894531,32.130001068115234,32.880001068115234,22.150333404541016,4317400
2016-08-08,WY,WY,32.7400016784668,33.0099983215332,32.36000061035156,32.369998931884766,21.806758880615234,3272500
2016-08-09,WY,WY,32.33000183105469,32.52000045776367,32.25,32.33000183105469,21.779815673828125,2221200
2016-08-10,WY,WY,32.33000183105469,32.7400016784668,32.33000183105469,32.720001220703125,22.042551040649414,2565200
