ML_Model,Symbol,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
Elastic Net,AAPL,Basic,1,4.280269315000821,4.557785723382456
Elastic Net,AAPL,Basic,3,8.038936136634835,7.980462804619576
Elastic Net,AAPL,Basic,5,10.32745586181863,10.842237095061911
Elastic Net,AAPL,Advanced,1,4.3396399788629365,4.583032448312406
Elastic Net,AAPL,Advanced,3,8.140371661560227,8.07062810223183
Elastic Net,AAPL,Advanced,5,10.458763829843146,10.88032945121053
Elastic Net,ABNB,Basic,1,3.001624808956188,2.7737893970638914
Elastic Net,ABNB,Basic,3,5.283502386018031,4.238424253107492
Elastic Net,ABNB,Basic,5,6.638296321123746,5.251336141367894
Elastic Net,ABNB,Advanced,1,3.004170452575842,2.789752547126791
Elastic Net,ABNB,Advanced,3,5.393670329196599,4.41441060217521
Elastic Net,ABNB,Advanced,5,6.9130729964599755,5.753346719401143
Elastic Net,ACN,Basic,1,5.118154668045114,6.198643300238047
Elastic Net,ACN,Basic,3,8.8351293059344,11.225233745563836
Elastic Net,ACN,Basic,5,11.52108932538915,14.580444914239319
Elastic Net,ACN,Advanced,1,5.134247362271589,6.252609141453008
Elastic Net,ACN,Advanced,3,8.836320928482122,11.199676134603541
Elastic Net,ACN,Advanced,5,11.430546987938357,14.509040607267757
Elastic Net,ADBE,Basic,1,7.5554068951848015,6.804591805304118
Elastic Net,ADBE,Basic,3,12.361034872074615,12.542934509650348
Elastic Net,ADBE,Basic,5,16.04859661464164,17.50296815056032
Elastic Net,ADBE,Advanced,1,7.521470969645936,6.817730742246108
Elastic Net,ADBE,Advanced,3,12.332592443409032,12.597568387087003
Elastic Net,ADBE,Advanced,5,15.9389266051788,17.666130711573675
Elastic Net,AEP,Basic,1,1.2648680290372296,1.601833047084314
Elastic Net,AEP,Basic,3,2.1997542016931804,2.7113578478409743
Elastic Net,AEP,Basic,5,2.7626149115814713,3.374519213523371
Elastic Net,AEP,Advanced,1,1.25867034749366,1.5811464557552464
Elastic Net,AEP,Advanced,3,2.151216569394932,2.727825296425878
Elastic Net,AEP,Advanced,5,2.6826603339975916,3.391360712463543
Elastic Net,AES,Basic,1,0.34642157709906585,0.3282246027545489
Elastic Net,AES,Basic,3,0.5454371404117673,0.446569705207196
Elastic Net,AES,Basic,5,0.7166978256154665,0.5569770245128204
