ML_Model,Symbol,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
Linear Regression,AAPL,Basic,1,4.274777654207437,4.610671350812207
Linear Regression,AAPL,Basic,3,8.102187584324469,8.133109633284388
Linear Regression,AAPL,Basic,5,10.445442064950843,11.052244732263576
Linear Regression,AAPL,Advanced,1,4.3853544933863065,4.6261309623580456
Linear Regression,AAPL,Advanced,3,8.181721260105673,8.088874442985064
Linear Regression,AAPL,Advanced,5,10.460117722555161,10.839145650048684
Linear Regression,ABNB,Basic,1,3.009864809098821,2.7775837433624684
Linear Regression,ABNB,Basic,3,5.28240257616778,4.284927158495199
Linear Regression,ABNB,Basic,5,6.664648652362978,5.327288645772163
Linear Regression,ABNB,Advanced,1,3.07823723696975,2.8066588624910644
Linear Regression,ABNB,Advanced,3,5.605043994265149,4.572578954704461
Linear Regression,ABNB,Advanced,5,7.1965894202561,6.057826275388409
Linear Regression,ACN,Basic,1,5.17501084112726,6.255837822328172
Linear Regression,ACN,Basic,3,8.986565734778834,11.372633789551381
Linear Regression,ACN,Basic,5,11.825200297094726,14.788695026325035
Linear Regression,ACN,Advanced,1,5.238492259199104,6.469539274461202
Linear Regression,ACN,Advanced,3,9.24901078842614,11.611785687221248
Linear Regression,ACN,Advanced,5,12.029296994710608,15.139109810755613
Linear Regression,ADBE,Basic,1,7.536339223218681,6.8827127705261
Linear Regression,ADBE,Basic,3,12.258049959959779,12.685442347285322
Linear Regression,ADBE,Basic,5,15.964682458246056,17.83883622777561
Linear Regression,ADBE,Advanced,1,7.666654838418748,7.164436405501044
Linear Regression,ADBE,Advanced,3,12.928173671664627,13.51563531668489
Linear Regression,ADBE,Advanced,5,16.764157801967016,18.925752659030813
Linear Regression,AEP,Basic,1,1.2872269915062833,1.6124418540944065
Linear Regression,AEP,Basic,3,2.2714598525695284,2.761312074386739
Linear Regression,AEP,Basic,5,2.872021213971793,3.4599204718366274
Linear Regression,AEP,Advanced,1,1.2676174380516054,1.6133627931709322
Linear Regression,AEP,Advanced,3,2.2052266779367096,2.8622038908758554
Linear Regression,AEP,Advanced,5,2.761204656210792,3.578562757442774
Linear Regression,AES,Basic,1,0.3498529156136088,0.3284508369728792
Linear Regression,AES,Basic,3,0.5574962582218634,0.44747646632485505
Linear Regression,AES,Basic,5,0.7347486153767391,0.5562370134110441
Linear Regression,AES,Advanced,1,0.3492187818140109,0.327171468755048
Linear Regression,AES,Advanced,3,0.5690814860149286,0.4554548232088013
Linear Regression,AES,Advanced,5,0.7396716894139888,0.5900394060816903
Linear Regression,AFL,Basic,1,1.3728175311415274,1.2595506802352396
Linear Regression,AFL,Basic,3,2.3889419575724222,1.8925308767441937
Linear Regression,AFL,Basic,5,2.963933608249282,2.4670540156588485
Linear Regression,AFL,Advanced,1,1.4376620054196996,1.2975641870414423
Linear Regression,AFL,Advanced,3,2.542542280037972,1.9275099519126409
Linear Regression,AFL,Advanced,5,3.201358021504594,2.463974059130857
Linear Regression,AIG,Basic,1,1.2197196303127045,1.2239000123821007
Linear Regression,AIG,Basic,3,2.1346279437025406,1.988094984075683
Linear Regression,AIG,Basic,5,2.6238514263837924,2.5447758900195367
Linear Regression,AIG,Advanced,1,1.2965807509804532,1.2610400115547595
Linear Regression,AIG,Advanced,3,2.3631207525381055,2.1269511306262534
Linear Regression,AIG,Advanced,5,2.9256018701366258,2.82412254731456
Linear Regression,AMZN,Basic,1,4.5200890721437625,4.539707615124226
Linear Regression,AMZN,Basic,3,7.548757159019684,8.455294626643692
Linear Regression,AMZN,Basic,5,9.300199141442853,11.705557883457374
