ML_Model,Symbol,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
Random Forest,AAPL,Basic,1,4.29280491539175,4.836045803097365
Random Forest,AAPL,Basic,3,8.048626716063035,9.763544616369144
Random Forest,AAPL,Basic,5,10.339648029785186,14.26244174808654
Random Forest,AAPL,Advanced,1,4.367708919503044,4.582479150978866
Random Forest,AAPL,Advanced,3,7.950545708530756,8.75779448957828
Random Forest,AAPL,Advanced,5,10.220967065167416,12.964350196126102
Random Forest,ABNB,Basic,1,3.1040119576775225,2.7806547671759554
Random Forest,ABNB,Basic,3,5.604981486889804,4.263379782311497
Random Forest,ABNB,Basic,5,7.329408711761616,5.085483807948091
Random Forest,ABNB,Advanced,1,3.0435983495013184,2.790495269754829
Random Forest,ABNB,Advanced,3,5.367085494617827,4.281223133508789
Random Forest,ABNB,Advanced,5,6.918961508081311,5.102712508421442
Random Forest,ACN,Basic,1,5.432133851932633,6.755528222601179
Random Forest,ACN,Basic,3,9.237210382173902,12.321198280302381
Random Forest,ACN,Basic,5,11.701082871552863,15.731195573614277
Random Forest,ACN,Advanced,1,5.116528905039551,6.69593431717677
Random Forest,ACN,Advanced,3,8.954445700618056,12.197534957187024
Random Forest,ACN,Advanced,5,11.515156064845621,15.778173096859387
Random Forest,ADBE,Basic,1,7.530455827062204,8.271708128877096
Random Forest,ADBE,Basic,3,12.424420030822981,15.02794071063373
Random Forest,ADBE,Basic,5,15.617391880599143,21.00235252925017
Random Forest,ADBE,Advanced,1,7.516393385347169,7.016482786328108
Random Forest,ADBE,Advanced,3,12.421788225298315,13.652435383973428
Random Forest,ADBE,Advanced,5,16.26303341715349,19.544947120094182
Random Forest,AEP,Basic,1,1.423607157873821,1.6140935942164483
Random Forest,AEP,Basic,3,2.54496421648267,2.5791971519608787
Random Forest,AEP,Basic,5,3.3280159952186685,3.1950627779764162
Random Forest,AEP,Advanced,1,1.3011445074945982,1.6073901376048756
Random Forest,AEP,Advanced,3,2.356364436060068,2.681550098554742
Random Forest,AEP,Advanced,5,3.2444400139012153,3.2978878587723304
Random Forest,AES,Basic,1,0.35608900446916913,0.3275132838495098
Random Forest,AES,Basic,3,0.5932477011923939,0.4521615867598563
