ML_Model,Symbol,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
SVR,AAPL,Basic,1,17.53862542437133,8.717560643236654
SVR,AAPL,Basic,3,30.58853389350087,14.663177609366024
SVR,AAPL,Basic,5,34.89331123341968,20.664088199891317
SVR,AAPL,Advanced,1,5.32469615075583,6.00502544038212
SVR,AAPL,Advanced,3,11.009255330395716,12.025962099582442
SVR,AAPL,Advanced,5,14.701207857620464,16.89225191796546
SVR,ABNB,Basic,1,9.026820151109968,4.108011289865358
SVR,ABNB,Basic,3,11.866188909115795,8.626784930215955
SVR,ABNB,Basic,5,10.005171058635,14.701876991947534
SVR,ABNB,Advanced,1,4.145462889548471,3.4307876953129504
SVR,ABNB,Advanced,3,7.979426372475346,7.035397899780803
SVR,ABNB,Advanced,5,10.708094555957201,8.49518122817132
SVR,ACN,Basic,1,13.067260071266825,16.0183366627242
SVR,ACN,Basic,3,26.21244679115759,33.49532656583976
SVR,ACN,Basic,5,32.00296564749341,53.758332685029906
SVR,ACN,Advanced,1,6.880842474685021,7.771647489205169
SVR,ACN,Advanced,3,12.492926998175784,16.529358694590375
SVR,ACN,Advanced,5,16.483157505897207,21.899803921243823
SVR,ADBE,Basic,1,15.950831882685687,24.11710223410761
SVR,ADBE,Basic,3,24.166856406566474,31.677875173060084
SVR,ADBE,Basic,5,33.56301320874293,45.82437788849682
SVR,ADBE,Advanced,1,9.499320606335486,10.797813360077408
SVR,ADBE,Advanced,3,18.738379056283776,19.096039233153324
SVR,ADBE,Advanced,5,25.050905580791948,28.43930140284906
SVR,AEP,Basic,1,3.47170060288169,9.207090390112327
SVR,AEP,Basic,3,8.250894688529362,15.088392325309947
SVR,AEP,Basic,5,12.237874820355096,22.33816094810956
SVR,AEP,Advanced,1,1.625290651751154,2.162696831333917
SVR,AEP,Advanced,3,3.0131974433874564,4.683030545123812
SVR,AEP,Advanced,5,3.83871904496949,5.623292265334678
SVR,AES,Basic,1,1.0700961834309037,0.9251475586852755
SVR,AES,Basic,3,1.5163554135391442,1.390337550480487
SVR,AES,Basic,5,1.3002200103150492,1.2551496686603505
SVR,AES,Advanced,1,0.41524325611668883,0.3873869772773599
SVR,AES,Advanced,3,0.7276768828969166,0.6931388891475446
SVR,AES,Advanced,5,0.9411966560122648,0.9876757101478754
SVR,AFL,Basic,1,5.911476951532279,1.9501334565018111
SVR,AFL,Basic,3,7.918641871660062,2.7267689332135507
SVR,AFL,Basic,5,5.270109824433257,4.0782100087321735
SVR,AFL,Advanced,1,2.1941110039063836,2.265731748288856
SVR,AFL,Advanced,3,3.861900269679306,4.100902819253661
SVR,AFL,Advanced,5,5.845249512731539,4.985065851861261
SVR,AIG,Basic,1,6.302123273275797,2.0392219849838247
SVR,AIG,Basic,3,11.400757530155149,2.0455966281544655
SVR,AIG,Basic,5,13.633190677914088,2.3057736405542126
SVR,AIG,Advanced,1,1.586377270807831,1.5691953150055098
SVR,AIG,Advanced,3,3.342124173175938,2.9980055914372405
SVR,AIG,Advanced,5,4.453823842639565,3.6691232523560844
SVR,AMZN,Basic,1,10.60739589614655,14.628181239118947
SVR,AMZN,Basic,3,21.071082391642882,26.293348907421173
SVR,AMZN,Basic,5,21.061778417342907,28.090626846330803
SVR,AMZN,Advanced,1,5.53899306648964,6.38768772406701
SVR,AMZN,Advanced,3,9.889447753105848,11.990224256872752
SVR,AMZN,Advanced,5,12.860104402068135,17.065537862037893
SVR,AOS,Basic,1,1.7791189645605794,2.366881213958125
SVR,AOS,Basic,3,3.36972651111777,4.386798222335773
SVR,AOS,Basic,5,3.9205872464923397,5.339559201235032
SVR,AOS,Advanced,1,1.3753191240402485,1.5657019835827146
SVR,AOS,Advanced,3,2.293434782431284,2.6843778514817713
SVR,AOS,Advanced,5,3.330744171968145,3.7176024987802134
SVR,APA,Basic,1,0.9215888441960074,2.8942307735859023
SVR,APA,Basic,3,1.3394617988945663,5.593804122204814
SVR,APA,Basic,5,1.9116791753625602,5.018078695780811
SVR,APA,Advanced,1,0.8632045382260913,1.4369994923120069
SVR,APA,Advanced,3,1.5266903752458176,2.7859681383070827
SVR,APA,Advanced,5,2.1197385572641996,3.7768260598442107
SVR,APD,Basic,1,7.8320475355661,7.229040780816032
SVR,APD,Basic,3,23.61984392846948,15.854405289266637
SVR,APD,Basic,5,25.174336595538527,21.740005897708386
SVR,APD,Advanced,1,6.159115290856027,6.19090833281942
SVR,APD,Advanced,3,11.818465938596168,12.616284580632646
SVR,APD,Advanced,5,14.368321471146857,16.64003748039655
SVR,APO,Basic,1,11.354555430957658,6.219566962189209
SVR,APO,Basic,3,15.270918493447141,10.583805732660217
SVR,APO,Basic,5,22.60312779121813,12.413691923467427
SVR,APO,Advanced,1,4.832681598100536,4.338863299048027
SVR,APO,Advanced,3,9.974577691652023,7.520685784960266
SVR,APO,Advanced,5,13.043974671023276,9.274368587569263
SVR,AXP,Basic,1,26.150390264490547,19.863960652304346
SVR,AXP,Basic,3,49.76013418482229,26.237652445453723
SVR,AXP,Basic,5,45.755908828650334,34.31518428501701
SVR,AXP,Advanced,1,7.102110571376919,7.810353197015345
SVR,AXP,Advanced,3,13.380862668290714,13.833049990603575
SVR,AXP,Advanced,5,18.839205254492423,18.35888399766163
SVR,BA,Basic,1,6.361860394037959,5.299725215298056
SVR,BA,Basic,3,9.674127474844079,10.152632945858908
SVR,BA,Basic,5,15.17262773817542,12.128044530431515
SVR,BA,Advanced,1,6.124412448226626,6.1289367237894234
SVR,BA,Advanced,3,11.619792322104756,11.348269573588798
SVR,BA,Advanced,5,15.661274393257255,12.715092643935282
SVR,BKNG,Basic,1,13.07272253908527,20.4245260000074
SVR,BKNG,Basic,3,22.302813443629724,26.69865105014285
SVR,BKNG,Basic,5,28.31216533657902,24.221926570633475
SVR,BKNG,Advanced,1,4.575656795870354,5.361565320427057
SVR,BKNG,Advanced,3,8.398081503451769,9.8748541324028
SVR,BKNG,Advanced,5,10.853642839433757,13.373081246357941
SVR,BKR,Basic,1,3.8481817968482632,4.467051808283502
SVR,BKR,Basic,3,6.694660872110259,7.302622084363494
SVR,BKR,Basic,5,6.957680160287368,12.364210113438197
SVR,BKR,Advanced,1,1.3681897067016426,2.853165721355036
SVR,BKR,Advanced,3,2.6948100771752435,6.724341507186769
SVR,BKR,Advanced,5,3.5647111984649045,9.880840437146794
SVR,BR,Basic,1,8.86136892174245,17.569423763772402
SVR,BR,Basic,3,21.658008816222466,18.026411891457798
SVR,BR,Basic,5,34.028886909990234,24.76357131150111
SVR,BR,Advanced,1,4.108220797745992,4.102861319439047
SVR,BR,Advanced,3,7.7950640594242735,7.603774584008146
SVR,BR,Advanced,5,9.207856827683209,10.626987709295262
SVR,CARR,Basic,1,4.424562144967582,5.555306107486811
SVR,CARR,Basic,3,7.18367904663388,7.132130173641867
SVR,CARR,Basic,5,11.229404913914351,6.392961154154789
SVR,CARR,Advanced,1,1.8300782811858427,1.679521036243924
SVR,CARR,Advanced,3,3.148844042023262,2.9457756909354678
SVR,CARR,Advanced,5,4.5363834519833865,3.8605567546778925
SVR,CASY,Basic,1,18.643083964536185,36.63786728608629
SVR,CASY,Basic,3,45.348958260985825,51.470048927148625
SVR,CASY,Basic,5,110.97989729310248,102.2571216754209
SVR,CASY,Advanced,1,11.16191727659871,20.341382157345702
SVR,CASY,Advanced,3,18.34978186842843,40.01057644129231
SVR,CASY,Advanced,5,23.417035105716504,54.49178023214893
SVR,CAT,Basic,1,42.75250221632196,39.34327246615227
SVR,CAT,Basic,3,50.46659078302284,67.38300775492044
SVR,CAT,Basic,5,64.90080939028381,83.12527068857258
SVR,CAT,Advanced,1,11.564797558481748,26.073126817788708
SVR,CAT,Advanced,3,28.07895909126644,40.80770543541265
SVR,CAT,Advanced,5,39.83555014188152,54.9501062538946
SVR,CBRE,Basic,1,10.491323688754624,7.755389801767225
SVR,CBRE,Basic,3,23.462741747081093,12.680769762426051
SVR,CBRE,Basic,5,19.275193934251295,23.10867048962138
SVR,CBRE,Advanced,1,3.510782839058682,4.816913048379689
SVR,CBRE,Advanced,3,7.05856897346783,9.046737718104355
SVR,CBRE,Advanced,5,8.753052925900564,10.904630345993374
SVR,CEG,Basic,1,49.54559556654675,26.769793726280657
SVR,CEG,Basic,3,72.2624353857823,58.75646518064116
SVR,CEG,Basic,5,47.016686353221125,69.41240744345436
SVR,CEG,Advanced,1,12.931948141280245,13.58743636342493
SVR,CEG,Advanced,3,20.42284550844351,21.26067878114113
SVR,CEG,Advanced,5,24.717773964619408,28.822105243153352
SVR,CHRW,Basic,1,6.410883195413388,6.228500758228929
SVR,CHRW,Basic,3,14.438967394130609,15.07136481612234
SVR,CHRW,Basic,5,12.948428113448518,14.33106804475055
SVR,CHRW,Advanced,1,2.9076695432231285,5.126288397951926
SVR,CHRW,Advanced,3,5.314978575240513,9.308149098644366
SVR,CHRW,Advanced,5,6.900203800767073,10.991355233684102
