ML_Model,Symbol,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
XGBoost,AAPL,Basic,1,4.542879339496202,4.966440170871844
XGBoost,AAPL,Basic,3,8.220408815415281,9.622493456931284
XGBoost,AAPL,Basic,5,10.563298132527287,14.58305576336984
XGBoost,AAPL,Advanced,1,4.52596432057329,4.967657187944315
XGBoost,AAPL,Advanced,3,8.151649467174172,9.777616434999679
XGBoost,AAPL,Advanced,5,10.692382700236408,14.892417914758349
XGBoost,ABNB,Basic,1,3.5117894834790455,2.8041219045611427
XGBoost,ABNB,Basic,3,5.910811901093568,4.9148965687126696
XGBoost,ABNB,Basic,5,7.8355664607151105,6.301069778676503
XGBoost,ABNB,Advanced,1,3.292783568579343,2.839260658060507
XGBoost,ABNB,Advanced,3,5.866598268184396,5.235166417984848
XGBoost,ABNB,Advanced,5,7.821485910003799,6.664048669461597
XGBoost,ACN,Basic,1,6.433120505828128,6.794480183036742
XGBoost,ACN,Basic,3,10.481465692332119,13.150817651017645
XGBoost,ACN,Basic,5,12.497601242281382,18.143033814703028
XGBoost,ACN,Advanced,1,5.350386298572204,6.807583674361746
XGBoost,ACN,Advanced,3,9.652715875761212,13.414268375464752
XGBoost,ACN,Advanced,5,12.181010514044564,18.607672041692283
XGBoost,ADBE,Basic,1,7.751740508656818,9.823900620764407
XGBoost,ADBE,Basic,3,12.532406122433908,17.35763517630154
XGBoost,ADBE,Basic,5,15.755111939890456,24.319849518537794
XGBoost,ADBE,Advanced,1,7.460801687997677,7.42670627793913
XGBoost,ADBE,Advanced,3,12.879013934810116,14.764660684906366
XGBoost,ADBE,Advanced,5,16.586198408620234,21.354969451638876
XGBoost,AEP,Basic,1,1.5444805311987233,1.6318474047471523
XGBoost,AEP,Basic,3,2.6915285776091245,2.5379947448950952
XGBoost,AEP,Basic,5,3.719461515978995,3.2496527080055615
XGBoost,AEP,Advanced,1,1.3383239847030945,1.576428076324101
XGBoost,AEP,Advanced,3,2.438906606387822,2.709567387416261
XGBoost,AEP,Advanced,5,3.5051016323716473,3.2166721742463005
XGBoost,AES,Basic,1,0.3697383021790587,0.32533770927439426
XGBoost,AES,Basic,3,0.6206883646997274,0.46910392381848814
XGBoost,AES,Basic,5,0.8027388532800238,0.6435240951048667
XGBoost,AES,Advanced,1,0.3611344951663572,0.32306500171826186
XGBoost,AES,Advanced,3,0.5987416705105598,0.4604322255292748
XGBoost,AES,Advanced,5,0.821998198216945,0.6267598921826317
XGBoost,AFL,Basic,1,1.5576089673775662,1.3093170072627176
XGBoost,AFL,Basic,3,2.7588547196390536,2.395164265183858
XGBoost,AFL,Basic,5,3.032572932943489,3.1465658122388382
XGBoost,AFL,Advanced,1,1.4082385434397358,1.2933837226241542
XGBoost,AFL,Advanced,3,2.5808524316383985,2.0180826600058044
XGBoost,AFL,Advanced,5,2.9862020603341457,2.947093964525789
XGBoost,AIG,Basic,1,1.5010838276866711,1.1974143504255816
XGBoost,AIG,Basic,3,2.866315537709602,1.8204395778587736
XGBoost,AIG,Basic,5,3.5700017788048926,2.1505826962589576
XGBoost,AIG,Advanced,1,1.286571017174305,1.2263551795871415
XGBoost,AIG,Advanced,3,2.610276241922488,1.8447666090455752
XGBoost,AIG,Advanced,5,3.336719506505267,2.235991984137001
XGBoost,AMZN,Basic,1,4.673619833098942,4.908601661205276
XGBoost,AMZN,Basic,3,8.568435673026974,8.270044293567324
XGBoost,AMZN,Basic,5,10.346063241930507,11.0293296543732
XGBoost,AMZN,Advanced,1,4.623203831866963,4.766616571745654
XGBoost,AMZN,Advanced,3,7.883804204860612,8.707349587582973
XGBoost,AMZN,Advanced,5,10.566550827166918,12.013224993753424
XGBoost,AOS,Basic,1,1.0149980712161568,1.2550798082835488
XGBoost,AOS,Basic,3,1.682563591616994,2.185756191944751
XGBoost,AOS,Basic,5,2.0664524533377517,2.8754564947649284
XGBoost,AOS,Advanced,1,1.0283505258868164,1.2116452609948567
XGBoost,AOS,Advanced,3,1.7300458104947802,2.1029933303757513
XGBoost,AOS,Advanced,5,2.0910008643889757,2.782584468706372
XGBoost,APA,Basic,1,0.6588552050362412,1.0953701718455644
XGBoost,APA,Basic,3,1.1618492703109962,2.030165356626362
XGBoost,APA,Basic,5,1.4550519503661603,2.4702330683969844
XGBoost,APA,Advanced,1,0.6848842973510035,1.0777170150126425
XGBoost,APA,Advanced,3,1.176066154449989,1.8880650172481157
XGBoost,APA,Advanced,5,1.5725951297891585,2.454834663053581
XGBoost,APD,Basic,1,5.165260897668839,4.629824621411485
XGBoost,APD,Basic,3,9.818482615936214,8.57799438302358
XGBoost,APD,Basic,5,11.588346711041726,10.586959482730258
XGBoost,APD,Advanced,1,4.679922674470871,4.6011663241775835
XGBoost,APD,Advanced,3,9.710831841747645,9.137325994712118
XGBoost,APD,Advanced,5,12.204092736315971,11.07018297219881
XGBoost,APO,Basic,1,4.349509377446101,3.1778799385448746
XGBoost,APO,Basic,3,7.261276189811389,5.257762389683581
XGBoost,APO,Basic,5,8.259489553472028,7.130436299794747
XGBoost,APO,Advanced,1,3.6270159863101696,3.0903258455359506
XGBoost,APO,Advanced,3,6.43015468903845,5.071001977555627
XGBoost,APO,Advanced,5,7.230672452757869,6.850206176024806
XGBoost,AXP,Basic,1,5.62771637780492,6.19820983154403
XGBoost,AXP,Basic,3,10.205839537672352,10.139929154608398
XGBoost,AXP,Basic,5,13.552103717126478,13.341901674474776
XGBoost,AXP,Advanced,1,5.857707325942748,6.41331063771767
XGBoost,AXP,Advanced,3,10.351974009459216,10.59057319234977
XGBoost,AXP,Advanced,5,13.337443736051194,13.4385253815067
XGBoost,BA,Basic,1,4.284387214699462,4.631659470898733
XGBoost,BA,Basic,3,7.750198128751118,8.300773105262628
XGBoost,BA,Basic,5,10.35919223794371,10.401852799089633
XGBoost,BA,Advanced,1,4.399946283572281,4.698279171111423
XGBoost,BA,Advanced,3,7.991152263315139,8.50147316369131
XGBoost,BA,Advanced,5,10.585832502948245,10.824301735126024
XGBoost,BKNG,Basic,1,3.5389622277393284,4.935120557723494
XGBoost,BKNG,Basic,3,6.449346744321806,8.267646245194625
XGBoost,BKNG,Basic,5,8.362213617636181,10.80084866151521
XGBoost,BKNG,Advanced,1,3.459249365852795,4.670998855183238
XGBoost,BKNG,Advanced,3,5.855684631967731,8.052496734442673
XGBoost,BKNG,Advanced,5,7.4769172010425216,10.843109459776265
XGBoost,BKR,Basic,1,0.9850075088116201,1.516645046065051
XGBoost,BKR,Basic,3,1.6940431134101939,2.5817887707103786
XGBoost,BKR,Basic,5,2.119835782987056,3.718643460944853
XGBoost,BKR,Advanced,1,0.9642674915333409,1.3679679485497847
XGBoost,BKR,Advanced,3,1.7363288199542921,2.5277254819063497
XGBoost,BKR,Advanced,5,2.1302497915631826,3.637096497530153
XGBoost,BR,Basic,1,3.3414839862548606,4.927784052060185
XGBoost,BR,Basic,3,5.805900340633386,8.140883390571254
XGBoost,BR,Basic,5,7.130894595394965,11.715294941854113
XGBoost,BR,Advanced,1,3.156186375557656,4.231234306730189
XGBoost,BR,Advanced,3,5.557769569356118,7.855532397479635
XGBoost,BR,Advanced,5,7.0202340354495165,10.04951842339478
XGBoost,CARR,Basic,1,1.4525089531788036,1.572396738702307
XGBoost,CARR,Basic,3,2.561951883818278,2.3773122066671313
XGBoost,CARR,Basic,5,3.3978207437892363,2.922396681489398
XGBoost,CARR,Advanced,1,1.4713817360472157,1.5610798560631476
XGBoost,CARR,Advanced,3,2.7583107074237887,2.4721578527476096
XGBoost,CARR,Advanced,5,3.567372051681513,3.1485621762058615
XGBoost,CASY,Basic,1,8.818314825185519,20.629720816807634
XGBoost,CASY,Basic,3,15.342690560121946,41.773172689507966
XGBoost,CASY,Basic,5,16.10752346475985,49.21934370250116
XGBoost,CASY,Advanced,1,8.464236295310466,19.095707921439686
XGBoost,CASY,Advanced,3,13.615699756218126,34.773220926621136
XGBoost,CASY,Advanced,5,16.52161948260529,41.94403586439316
XGBoost,CAT,Basic,1,11.191391557264252,22.547418974671995
XGBoost,CAT,Basic,3,18.89659928585174,33.201711095024315
XGBoost,CAT,Basic,5,25.21251042307972,40.19335753364507
XGBoost,CAT,Advanced,1,8.971137795524427,22.831323127023516
XGBoost,CAT,Advanced,3,16.86026357111873,32.32613955403309
XGBoost,CAT,Advanced,5,23.228890412369882,41.29423190454216
XGBoost,CBRE,Basic,1,2.670901427084598,3.615946295031522
XGBoost,CBRE,Basic,3,5.601601094039182,6.924332964683145
