Rank,Company,Mean_BERT_Change,Highest_Spike_Date
1,CVS Health,0.007050510062727817,2026-07-20
2,Martin Marietta Materials,0.006634243699007256,2026-07-22
3,Adobe Inc,0.0065999627113342285,2026-07-22
4,Accenture,0.006142490131910457,2026-07-23
5,"Nike, Inc",0.006109523218731547,2026-07-20
6,Iron Mountain,0.006095945835113525,2026-07-22
7,JPMorgan Chase,0.006091130334277486,2026-07-23
8,Amazon,0.0060849924420201505,2026-07-22
9,Williams Companies,0.006042821462764297,2026-07-22
10,Caterpillar Inc,0.005975818911264109,2026-07-22
11,Walt Disney Company (The),0.005895756011785463,2026-07-17
12,"Workday, Inc",0.0058892798978228906,2026-07-22
13,Diamondback Energy,0.005877152431842892,2026-07-20
14,Target Corporation,0.005841000135554824,2026-07-22
15,Cintas,0.005741323149481485,2026-07-22
16,American Express,0.005686581134796143,2026-07-20
17,Xylem Inc,0.005676903003870055,2026-07-22
18,Aflac,0.00562902522641559,2026-07-23
19,Apollo Global Management,0.005602917005849439,2026-07-23
20,Vistra Corp,0.0055959695993467815,2026-07-22
21,Mid-America Apartment Communities,0.005570198214331338,2026-07-23
22,Weyerhaeuser,0.005566774412643078,2026-07-23
23,Costco,0.0055222095445145005,2026-07-22
24,Air Products,0.005520396454389705,2026-07-23
25,Casey's,0.005512072596439096,2026-07-23
26,Alliant Energy,0.005415300990259925,2026-07-20
27,Broadridge Financial Solutions,0.005413214827692786,2026-07-20
28,American Electric Power,0.005353449388991955,2026-07-20
29,CBRE Group,0.005333405594493068,2026-07-23
30,APA Corporation,0.005323152209437171,2026-07-20
31,DoorDash,0.005321782688761867,2026-07-20
32,Kimco Realty,0.00531715847725092,2026-07-20
33,Carrier Global,0.005311062169629474,2026-07-20
34,Steel Dynamics,0.0053038070368212325,2026-07-22
35,Dominion Energy,0.005298004593960074,2026-07-20
36,International Flavors & Fragrances,0.005272852820019389,2026-07-20
37,Cisco,0.005270460317301196,2026-07-23
38,Smurfit Westrock,0.005262704782707747,2026-07-20
39,International Paper,0.005257035410681436,2026-07-23
40,"Tapestry, Inc",0.0052529351655827014,2026-07-23
41,Edwards Lifesciences,0.005236969437710074,2026-07-20
42,Goldman Sachs,0.005214504031247871,2026-07-20
43,Ralph Lauren Corporation,0.0052080140557400015,2026-07-20
44,Constellation Energy,0.005204885504966558,2026-07-22
45,Apple Inc,0.005171244920686234,2026-07-22
46,Cigna,0.0051642850387928095,2026-07-20
47,ConocoPhillips,0.005160640838534333,2026-07-22
48,Booking Holdings,0.0051202288893766185,2026-07-22
49,Cognizant,0.005116800929224769,2026-07-20
50,Dollar General,0.005099916180898977,2026-07-20
51,A. O. Smith,0.005095246226288552,2026-07-22
52,American International Group,0.0050815052764360295,2026-07-23
53,WEC Energy Group,0.005036733871282533,2026-07-22
54,AES Corporation,0.005016053831854532,2026-07-23
55,Cooper Companies (The),0.00501398014467816,2026-07-22
56,Xcel Energy,0.005011608434277911,2026-07-22
57,CoStar Group,0.004976856154064799,2026-07-23
58,Consolidated Edison,0.00495772029078284,2026-07-20
59,C.H. Robinson,0.004951220612193263,2026-07-23
60,Wells Fargo,0.004885127378064532,2026-07-20
61,General Mills,0.004873451798461204,2026-07-20
62,Boeing,0.0048717301945353664,2026-07-20
63,Devon Energy,0.004855119904806447,2026-07-22
64,Colgate-Palmolive,0.00483165369477383,2026-07-23
65,Warner Bros. Discovery,0.00481684124746988,2026-07-22
66,Chevron Corporation,0.004799526791239894,2026-07-22
67,Walmart,0.00479758340258931,2026-07-20
68,Airbnb,0.004797124585439992,2026-07-20
69,AT&T,0.0047800873601159385,2026-07-17
70,Gilead Sciences,0.004777352477228919,2026-07-20
71,"Tesla, Inc",0.004771283892698066,2026-07-23
72,3M,0.004770536755406579,2026-07-20
73,Danaher Corporation,0.004763583804285804,2026-07-22
74,Starbucks,0.004697457302448361,2026-07-20
75,Baker Hughes,0.004689046116762383,2026-07-22
76,DaVita,0.004651244296584018,2026-07-20
77,Visa Inc,0.004626250544259715,2026-07-22
78,Expand Energy,0.004621507123459217,2026-07-20
79,Corteva,0.0046060251635174415,2026-07-20
80,Mosaic Company (The),0.004581667656122252,2026-07-23
81,Coca-Cola Company (The),0.00457804147587266,2026-07-20
82,Welltower,0.004518963569818541,2026-07-22
83,Ventas,0.0045113521952961765,2026-07-20
84,ServiceNow,0.004481014817260032,2026-07-20
85,Omnicom Group,0.0044791753901991735,2026-07-17
86,Western Digital,0.004474426424780557,2026-07-23
87,Electronic Arts,0.004463461942450945,2026-07-17
88,Dexcom,0.004402860652568729,2026-07-20
89,Sandisk,0.004399416058562523,2026-07-23
90,Hewlett Packard Enterprise,0.0042235005733578706,2026-07-23
91,GE HealthCare,0.004183162090390227,2026-07-22
92,Take-Two Interactive,0.004090058249096537,2026-07-17
93,Meta Platforms,0.004069046918735947,2026-07-23
94,LyondellBasell,0.004032136395920155,2026-07-22
95,Alphabet Inc. (Class A),0.003990177498307339,2026-07-17
96,Vulcan Materials Company,0.003960491612900135,2026-07-23
97,PepsiCo,0.00395162022391031,2026-07-20
98,PayPal,0.003848630328511083,2026-07-20
99,Netflix,0.0035187394119972405,2026-07-22
100,EOG Resources,0.003477224083833916,2026-07-20
