Company,Date,PreviousDate,TFIDF_Change
3M,2026-07-16,2026-07-15,0.16695525737108707
3M,2026-07-17,2026-07-16,0.19050839609842618
3M,2026-07-18,2026-07-17,0.15282121473844168
3M,2026-07-19,2026-07-18,0.20452808329158834
3M,2026-07-20,2026-07-19,0.231975949253594
3M,2026-07-21,2026-07-20,0.08444822535993735
3M,2026-07-22,2026-07-21,0.18016191390966896
3M,2026-07-23,2026-07-22,0.18607513228438488
3M,2026-07-24,2026-07-23,0.07391849323661659
3M,2026-07-25,2026-07-24,0.07461584118225772
3M,2026-07-26,2026-07-25,0.07760717299475839
3M,2026-07-27,2026-07-26,0.07506566434981254
3M,2026-07-28,2026-07-27,0.08285870488868097
3M,2026-07-29,2026-07-28,0.08134042122533192
3M,2026-07-30,2026-07-29,0.07521298523780828
3M,2026-07-31,2026-07-30,0.07049751602866261
3M,2026-08-01,2026-07-31,0.08179508265235902
3M,2026-08-02,2026-08-01,0.08251955438571512
3M,2026-08-03,2026-08-02,0.08751140682523184
3M,2026-08-04,2026-08-03,0.07919941987230206
3M,2026-08-05,2026-08-04,0.06760229323492595
3M,2026-08-06,2026-08-05,0.07355977580639705
3M,2026-08-07,2026-08-06,0.07236498261407232
3M,2026-08-08,2026-08-07,0.06731934287422736
3M,2026-08-09,2026-08-08,0.06638593940948978
3M,2026-08-10,2026-08-09,0.07002736944626486
3M,2026-08-11,2026-08-10,0.08882820212254039
3M,2026-08-12,2026-08-11,0.06187760126548003
3M,2026-08-13,2026-08-12,0.0748789845703196
3M,2026-08-14,2026-08-13,0.06669808771527352
3M,2026-08-15,2026-08-14,0.06969051399986792
3M,2026-08-16,2026-08-15,0.0670663372698107
3M,2026-08-17,2026-08-16,0.0677607738736885
3M,2026-08-18,2026-08-17,0.07086091087053159
3M,2026-08-20,2026-08-18,0.083803974575545
3M,2026-08-21,2026-08-20,0.06635098016833707
3M,2026-08-22,2026-08-21,0.08000129708268555
3M,2026-08-23,2026-08-22,0.06351137831987685
3M,2026-08-24,2026-08-23,0.09037560407564771
3M,2026-08-25,2026-08-24,0.08343618322652624
3M,2026-08-26,2026-08-25,0.07600148747172897
3M,2026-08-27,2026-08-26,0.0775305388787505
