Rank,Company,Mean_TFIDF_Change,Highest_Spike_Date
1,Goldman Sachs,0.1303442955878023,2026-07-19
2,JPMorgan Chase,0.12516967864375533,2026-07-19
3,CVS Health,0.11502616369616722,2026-07-23
4,AT&T,0.11499673091571,2026-07-16
5,Xcel Energy,0.11317517842655377,2026-07-23
6,Boeing,0.11201216670823338,2026-07-22
7,Caterpillar Inc,0.11033939399561986,2026-07-22
8,"Tesla, Inc",0.10967355176691904,2026-07-17
9,Accenture,0.10748701211569116,2026-07-19
10,Martin Marietta Materials,0.10621540943565608,2026-07-20
11,Cisco,0.1053201120987826,2026-07-17
12,Ralph Lauren Corporation,0.10480836831136615,2026-07-19
13,Sandisk,0.10466630930511367,2026-07-16
14,Chevron Corporation,0.10439168897664497,2026-07-16
15,Williams Companies,0.1041980513725989,2026-07-16
16,Vistra Corp,0.10399518433402405,2026-07-22
17,Amazon,0.10390528820626288,2026-07-20
18,Consolidated Edison,0.10359793561615882,2026-07-17
19,American Express,0.10351281300367329,2026-07-23
20,"Nike, Inc",0.10308219494062855,2026-07-22
21,Air Products,0.10187746601376294,2026-07-20
22,Broadridge Financial Solutions,0.10187534585845279,2026-07-22
23,Cintas,0.10090579995500794,2026-07-17
24,American Electric Power,0.10070738002931971,2026-07-18
25,Apollo Global Management,0.10024494300129122,2026-07-23
26,CBRE Group,0.09887857979554422,2026-07-22
27,DoorDash,0.09878296273129482,2026-07-18
28,Booking Holdings,0.0985267809840983,2026-07-20
29,Alphabet Inc. (Class A),0.09851065204794267,2026-07-22
30,Colgate-Palmolive,0.09809086268823532,2026-07-23
31,"Workday, Inc",0.09796055370933787,2026-07-19
32,Walt Disney Company (The),0.09764313807051066,2026-07-23
33,American International Group,0.09711802567182674,2026-07-18
34,ServiceNow,0.09668092249404148,2026-07-23
35,Aflac,0.0965248105210179,2026-07-17
36,Target Corporation,0.09614095562534151,2026-07-16
37,International Paper,0.09606659089952964,2026-07-23
38,ConocoPhillips,0.09552477746771565,2026-07-22
39,Western Digital,0.09552079878459939,2026-07-23
40,Corteva,0.09505728111640077,2026-07-16
41,"Tapestry, Inc",0.09482542244586177,2026-07-22
42,C.H. Robinson,0.09476590066104645,2026-07-23
43,Weyerhaeuser,0.09470950543339623,2026-07-22
44,Smurfit Westrock,0.09436251863844869,2026-07-23
45,Airbnb,0.09400871816347915,2026-07-17
46,Edwards Lifesciences,0.09397395588051831,2026-07-16
47,3M,0.09341069646675687,2026-07-20
48,WEC Energy Group,0.09337349137950898,2026-07-19
49,Cigna,0.09323386746003359,2026-07-20
50,Meta Platforms,0.09323348117474209,2026-07-16
51,Warner Bros. Discovery,0.09260923452449131,2026-07-22
52,Cognizant,0.09245403128257844,2026-07-20
53,Alliant Energy,0.09194974287168364,2026-07-17
54,PayPal,0.09170505512443895,2026-07-17
55,Diamondback Energy,0.09163355908231857,2026-07-22
56,International Flavors & Fragrances,0.09081957444043072,2026-07-22
57,General Mills,0.09081636176687913,2026-07-22
58,Kimco Realty,0.09062086228671083,2026-07-20
59,DaVita,0.09040664600480185,2026-07-17
60,Wells Fargo,0.09036882943504594,2026-07-17
61,Apple Inc,0.08963710513933446,2026-07-22
62,Danaher Corporation,0.08916457127528209,2026-07-20
63,Expand Energy,0.08915199664436518,2026-07-23
64,Steel Dynamics,0.08875223218758307,2026-07-16
65,A. O. Smith,0.08871678897963432,2026-07-22
66,Baker Hughes,0.08871169638419665,2026-07-16
67,Take-Two Interactive,0.08869212177716182,2026-07-17
68,CoStar Group,0.08846685096660467,2026-07-22
69,Dollar General,0.08805664402488299,2026-07-19
70,Costco,0.08746052004542146,2026-07-19
71,Welltower,0.08696268714118749,2026-07-16
72,Hewlett Packard Enterprise,0.08679303972833455,2026-07-22
73,Mid-America Apartment Communities,0.08564138332867617,2026-07-17
74,Coca-Cola Company (The),0.08450677162698247,2026-07-22
75,Mosaic Company (The),0.08402869966595189,2026-07-20
76,GE HealthCare,0.08365219121896049,2026-07-22
77,Dexcom,0.08337184278005987,2026-07-22
78,Dominion Energy,0.0832464032440439,2026-07-16
79,LyondellBasell,0.08321258759158025,2026-07-17
80,Cooper Companies (The),0.08318550968186053,2026-07-17
81,Adobe Inc,0.08201654238858912,2026-07-20
82,AES Corporation,0.08179150325440374,2026-08-28
83,Carrier Global,0.0816492734906701,2026-07-23
84,PepsiCo,0.08160402829032608,2026-07-22
85,Gilead Sciences,0.08153952779028446,2026-07-22
86,Ventas,0.0808260449877463,2026-07-20
87,Electronic Arts,0.08015206931848796,2026-07-23
88,Devon Energy,0.07959791055494184,2026-07-18
89,Iron Mountain,0.0794556349987424,2026-07-23
90,APA Corporation,0.07942755691189193,2026-07-20
91,Vulcan Materials Company,0.07889628126672249,2026-07-22
92,Omnicom Group,0.07877529967452616,2026-07-17
93,Starbucks,0.07845547500472588,2026-07-22
94,Constellation Energy,0.07701479877236307,2026-07-22
95,Walmart,0.07489782431522242,2026-07-22
96,Xylem Inc,0.07464067479278988,2026-07-20
97,Netflix,0.07424541729292215,2026-07-22
98,Visa Inc,0.0738956632890333,2026-07-20
99,Casey's,0.07297518158478243,2026-07-17
100,EOG Resources,0.07023342009116877,2026-07-20
