ML_Model,FeatureSet,Horizon_Days,Baseline_RMSE,News_RMSE,News_Answers_RMSE
Elastic Net,Advanced,1,5.685446783234017,5.712400489414393,5.753420250778636
Elastic Net,Basic,1,4.340502278225109,4.361017087232141,4.381537435204283
Random Forest,Advanced,1,4.398481109006396,4.450699191601117,4.469868577353171
Random Forest,Basic,1,4.532122812135707,4.57689045697173,4.590417116375829
Elastic Net,Advanced,3,33.908821950439275,33.91742599075381,33.90575314417885
Elastic Net,Basic,3,8.660624854261107,8.649256464775169,8.679885863117436
Random Forest,Advanced,3,8.01469774879608,8.038966337843299,8.015692156057007
Random Forest,Basic,3,8.222727321980985,8.237896037985037,8.197159466566903
Elastic Net,Advanced,5,64.04052358897147,64.06055568230633,64.05716640499179
Elastic Net,Basic,5,11.922038889043256,11.87610699419795,11.877159154595365
Random Forest,Advanced,5,9.264922865885618,9.3079828410166,9.343609668668194
Random Forest,Basic,5,9.415422782821226,9.41621320685302,9.441531370937097
