Ticker,Company,Status,Filing,Output,Error
GOOGL,Alphabet Inc. (Class A),Skipped - output exists,,questions/Alphabet Inc. (Class A).txt,
T,AT&T,Skipped - output exists,,questions/AT&T.txt,
EA,Electronic Arts,Skipped - output exists,,questions/Electronic Arts.txt,
META,Meta Platforms,Skipped - output exists,,questions/Meta Platforms.txt,
NFLX,Netflix,Skipped - output exists,,questions/Netflix.txt,
OMC,Omnicom Group,Skipped - output exists,,questions/Omnicom Group.txt,
TTWO,Take-Two Interactive,Skipped - output exists,,questions/Take-Two Interactive.txt,
DIS,Walt Disney Company (The),Skipped - output exists,,questions/Walt Disney Company (The).txt,
WBD,Warner Bros. Discovery,Skipped - output exists,,questions/Warner Bros. Discovery.txt,
ABNB,Airbnb,Skipped - output exists,,questions/Airbnb.txt,
AMZN,Amazon,Skipped - output exists,,questions/Amazon.txt,
BKNG,Booking Holdings,Skipped - output exists,,questions/Booking Holdings.txt,
DASH,DoorDash,Skipped - output exists,,questions/DoorDash.txt,
NKE,"Nike, Inc.",Skipped - output exists,,"questions/Nike, Inc.txt",
RL,Ralph Lauren Corporation,Skipped - output exists,,questions/Ralph Lauren Corporation.txt,
SBUX,Starbucks,Skipped - output exists,,questions/Starbucks.txt,
TPR,"Tapestry, Inc.",Skipped - output exists,,"questions/Tapestry, Inc.txt",
TSLA,"Tesla, Inc.",Skipped - output exists,,"questions/Tesla, Inc.txt",
CASY,Casey's,Skipped - output exists,,questions/Casey's.txt,
KO,Coca-Cola Company (The),Skipped - output exists,,questions/Coca-Cola Company (The).txt,
CL,Colgate-Palmolive,Skipped - output exists,,questions/Colgate-Palmolive.txt,
COST,Costco,Skipped - output exists,,questions/Costco.txt,
DG,Dollar General,Skipped - output exists,,questions/Dollar General.txt,
GIS,General Mills,Skipped - output exists,,questions/General Mills.txt,
PEP,PepsiCo,Skipped - output exists,,questions/PepsiCo.txt,
TGT,Target Corporation,Skipped - output exists,,questions/Target Corporation.txt,
WMT,Walmart,Skipped - output exists,,questions/Walmart.txt,
APA,APA Corporation,Skipped - output exists,,questions/APA Corporation.txt,
BKR,Baker Hughes,Skipped - output exists,,questions/Baker Hughes.txt,
CVX,Chevron Corporation,Skipped - output exists,,questions/Chevron Corporation.txt,
COP,ConocoPhillips,Skipped - output exists,,questions/ConocoPhillips.txt,
DVN,Devon Energy,Skipped - output exists,,questions/Devon Energy.txt,
FANG,Diamondback Energy,Skipped - output exists,,questions/Diamondback Energy.txt,
EOG,EOG Resources,Skipped - output exists,,questions/EOG Resources.txt,
