snapshot_date,company_name,ticker,status,snapshot_file,error
2026-08-03,Alphabet Inc. (Class A),GOOGL,completed,/mnt/primary/finnhub_snapshots/2026-08-03/GOOGL_snapshot.json,
2026-08-03,AT&T,T,completed,/mnt/primary/finnhub_snapshots/2026-08-03/T_snapshot.json,
2026-08-03,Electronic Arts,EA,completed,/mnt/primary/finnhub_snapshots/2026-08-03/EA_snapshot.json,
2026-08-03,Meta Platforms,META,completed,/mnt/primary/finnhub_snapshots/2026-08-03/META_snapshot.json,
2026-08-03,Netflix,NFLX,completed,/mnt/primary/finnhub_snapshots/2026-08-03/NFLX_snapshot.json,
2026-08-03,Omnicom Group,OMC,completed,/mnt/primary/finnhub_snapshots/2026-08-03/OMC_snapshot.json,
2026-08-03,Take-Two Interactive,TTWO,completed,/mnt/primary/finnhub_snapshots/2026-08-03/TTWO_snapshot.json,
2026-08-03,Walt Disney Company (The),DIS,completed,/mnt/primary/finnhub_snapshots/2026-08-03/DIS_snapshot.json,
2026-08-03,Warner Bros. Discovery,WBD,completed,/mnt/primary/finnhub_snapshots/2026-08-03/WBD_snapshot.json,
2026-08-03,Airbnb,ABNB,completed,/mnt/primary/finnhub_snapshots/2026-08-03/ABNB_snapshot.json,
2026-08-03,Amazon,AMZN,completed,/mnt/primary/finnhub_snapshots/2026-08-03/AMZN_snapshot.json,
2026-08-03,Booking Holdings,BKNG,completed,/mnt/primary/finnhub_snapshots/2026-08-03/BKNG_snapshot.json,
2026-08-03,DoorDash,DASH,completed,/mnt/primary/finnhub_snapshots/2026-08-03/DASH_snapshot.json,
2026-08-03,"Nike, Inc.",NKE,completed,/mnt/primary/finnhub_snapshots/2026-08-03/NKE_snapshot.json,
2026-08-03,Ralph Lauren Corporation,RL,completed,/mnt/primary/finnhub_snapshots/2026-08-03/RL_snapshot.json,
2026-08-03,Starbucks,SBUX,completed,/mnt/primary/finnhub_snapshots/2026-08-03/SBUX_snapshot.json,
2026-08-03,"Tapestry, Inc.",TPR,completed,/mnt/primary/finnhub_snapshots/2026-08-03/TPR_snapshot.json,
2026-08-03,"Tesla, Inc.",TSLA,completed,/mnt/primary/finnhub_snapshots/2026-08-03/TSLA_snapshot.json,
2026-08-03,Casey's,CASY,completed,/mnt/primary/finnhub_snapshots/2026-08-03/CASY_snapshot.json,
2026-08-03,Coca-Cola Company (The),KO,completed,/mnt/primary/finnhub_snapshots/2026-08-03/KO_snapshot.json,
2026-08-03,Colgate-Palmolive,CL,completed,/mnt/primary/finnhub_snapshots/2026-08-03/CL_snapshot.json,
2026-08-03,Costco,COST,completed,/mnt/primary/finnhub_snapshots/2026-08-03/COST_snapshot.json,
2026-08-03,Dollar General,DG,completed,/mnt/primary/finnhub_snapshots/2026-08-03/DG_snapshot.json,
2026-08-03,General Mills,GIS,completed,/mnt/primary/finnhub_snapshots/2026-08-03/GIS_snapshot.json,
2026-08-03,PepsiCo,PEP,completed,/mnt/primary/finnhub_snapshots/2026-08-03/PEP_snapshot.json,
2026-08-03,Target Corporation,TGT,completed,/mnt/primary/finnhub_snapshots/2026-08-03/TGT_snapshot.json,
2026-08-03,Walmart,WMT,completed,/mnt/primary/finnhub_snapshots/2026-08-03/WMT_snapshot.json,
2026-08-03,APA Corporation,APA,completed,/mnt/primary/finnhub_snapshots/2026-08-03/APA_snapshot.json,
2026-08-03,Baker Hughes,BKR,completed,/mnt/primary/finnhub_snapshots/2026-08-03/BKR_snapshot.json,
2026-08-03,Chevron Corporation,CVX,completed,/mnt/primary/finnhub_snapshots/2026-08-03/CVX_snapshot.json,
2026-08-03,ConocoPhillips,COP,completed,/mnt/primary/finnhub_snapshots/2026-08-03/COP_snapshot.json,
2026-08-03,Devon Energy,DVN,completed,/mnt/primary/finnhub_snapshots/2026-08-03/DVN_snapshot.json,
2026-08-03,Diamondback Energy,FANG,completed,/mnt/primary/finnhub_snapshots/2026-08-03/FANG_snapshot.json,
2026-08-03,EOG Resources,EOG,completed,/mnt/primary/finnhub_snapshots/2026-08-03/EOG_snapshot.json,
2026-08-03,Expand Energy,EXE,completed,/mnt/primary/finnhub_snapshots/2026-08-03/EXE_snapshot.json,
