ML_Model,FeatureSet,Horizon_Days,Symbol,Baseline_RMSE,News_RMSE,News_Answers_RMSE
Elastic Net,Advanced,1,AAPL,6.132217945005071,6.358521897780528,6.3702659098852115
Elastic Net,Advanced,1,ABNB,6.481692918967436,6.775694017157665,6.839558853429202
Elastic Net,Advanced,1,ACN,5.022386064636313,5.002836426597615,5.0011490270510786
Elastic Net,Advanced,1,ADBE,8.32104706969182,8.224759157223787,8.172807970254722
Elastic Net,Advanced,1,AEP,1.48211727781431,1.4937561904718861,1.4932146366915957
Elastic Net,Advanced,1,AES,0.023031402705908647,0.028171526643017423,0.029664923234741056
Elastic Net,Advanced,1,AFL,1.5157371148177332,1.5531980847435416,1.5655036173097383
Elastic Net,Advanced,1,AIG,1.0955123325870375,1.098830704317032,1.097045766320977
Elastic Net,Advanced,1,AMZN,5.127782125375955,5.288273188569119,5.325371084439294
Elastic Net,Advanced,1,AOS,1.2232837262880614,1.2405226719723021,1.226685379274668
Elastic Net,Advanced,1,APA,1.0914953332007744,1.1289468276863064,1.1281860200729705
Elastic Net,Advanced,1,APD,3.3238033253562413,3.6609040546652465,3.693220691918563
Elastic Net,Advanced,1,APO,2.9828249426697724,3.049370340952987,3.035305802386847
Elastic Net,Advanced,1,AXP,4.7598254939600935,4.7117402023215575,4.699603080236333
Elastic Net,Advanced,1,BA,5.077319366411627,5.173178497498484,5.1291560551264395
Elastic Net,Advanced,1,BKNG,5.087312632782282,5.255252559582456,5.256242307026159
Elastic Net,Advanced,1,BKR,1.0676264323935731,1.162023077828097,1.160186528566928
Elastic Net,Advanced,1,BR,3.8627424740954033,3.948367891400899,3.947463277749956
Elastic Net,Advanced,1,CARR,1.4708511682988357,1.4444803425679222,1.4566310247195158
Elastic Net,Advanced,1,CASY,25.2585424315887,25.650857486438472,25.703294372622498
Elastic Net,Advanced,1,CAT,21.64302663815903,21.55187373624702,21.774486510181816
