ML_Model,FeatureSet,Horizon_Days,Baseline_RMSE,News_RMSE,News_Answers_RMSE
Elastic Net,Advanced,1,5.658333088285789,5.7088587629185055,5.719926921958205
Elastic Net,Basic,1,4.312570748176536,4.3786462859699515,4.386845351444982
Random Forest,Advanced,1,4.368247380836752,4.4526618445071975,4.461023168521036
Random Forest,Basic,1,4.502592365399814,4.592475504848812,4.600182876958031
Elastic Net,Advanced,3,33.883731874773865,33.884506744448686,33.87142146765355
Elastic Net,Basic,3,8.64381500194155,8.702283948685464,8.695670811575443
Random Forest,Advanced,3,8.001352037978616,8.084132417483998,8.091418151552775
Random Forest,Basic,3,8.209125176284939,8.294355058128406,8.298377937102458
Elastic Net,Advanced,5,64.00456526274898,64.01022173088428,64.00660155836245
Elastic Net,Basic,5,11.913360503240227,11.95518759028142,11.953477588817947
Random Forest,Advanced,5,9.258728355114288,9.31750320721404,9.31781605038346
Random Forest,Basic,5,9.40636243709916,9.460227318784046,9.459146395299596
