Date,Companies,Companies_With_News,Companies_With_Answers,Companies_With_Previous_Answers,Total_Filtered_News_Articles,News_Inputs_Truncated,Answer_Inputs_Truncated
2026-07-15,100,96,100,0,613,0,0
2026-07-16,100,97,100,100,629,0,0
2026-07-17,100,97,100,100,588,0,0
2026-07-18,100,96,100,100,576,0,0
2026-07-19,100,96,100,100,563,0,0
2026-07-20,100,96,100,100,565,0,0
2026-07-21,100,95,100,100,566,0,0
2026-07-22,100,97,100,100,586,0,0
2026-07-23,100,97,100,100,621,0,0
2026-07-24,100,96,100,100,594,0,0
2026-07-25,100,96,100,100,542,0,0
2026-07-26,100,96,100,100,547,0,0
2026-07-27,100,97,100,100,547,0,0
2026-07-28,100,97,100,100,634,0,0
2026-07-29,100,97,100,100,621,0,0
2026-07-30,99,96,99,99,693,0,0
2026-07-31,100,98,100,100,842,0,0
2026-08-01,100,99,100,100,862,0,0
2026-08-02,100,99,100,100,864,0,0
2026-08-03,100,89,100,100,767,0,0
2026-08-04,100,99,100,100,889,0,0
2026-08-05,99,99,99,99,879,0,0
2026-08-06,100,99,100,100,869,0,0
2026-08-07,100,99,100,100,797,0,0
2026-08-08,99,97,99,99,736,0,0
2026-08-09,100,97,100,100,722,0,0
2026-08-10,98,95,98,98,743,0,0
2026-08-11,99,96,99,99,711,0,0
2026-08-12,100,96,100,100,613,0,0
2026-08-13,100,94,100,100,640,0,0
2026-08-14,100,94,100,100,597,0,0
2026-08-15,100,93,100,100,536,0,0
2026-08-16,100,93,100,100,512,0,0
2026-08-17,99,92,99,99,484,0,0
2026-08-18,99,91,99,99,444,0,0
2026-08-20,100,84,100,100,369,0,0
2026-08-21,100,71,100,100,280,0,0
2026-08-22,100,92,100,100,496,0,0
2026-08-23,98,90,98,98,471,0,0
2026-08-24,100,91,100,100,487,0,0
2026-08-25,100,90,100,100,447,0,0
2026-08-26,100,88,100,100,415,0,0
2026-08-27,100,85,100,100,355,0,0
2026-08-28,100,83,100,100,326,0,0
