Date,Symbol,Company,Category,News_Available,News_Sentiment,News_Impact_1D,News_Impact_3D,News_Impact_5D,News_Confidence,News_Novelty,News_Materiality,News_Event_Type,News_Article_Count,News_Sentiment_Signal,News_Signal_1D,News_Signal_3D,News_Signal_5D,News_Novelty_Adjusted_Signal_1D,News_Novelty_Adjusted_Signal_3D,News_Novelty_Adjusted_Signal_5D,Answer_Available,Answer_Impact_1D,Answer_Impact_3D,Answer_Impact_5D,Answer_Confidence,Answer_Fundamental_Strength,Answer_Catalyst_Score,Answer_Risk_Score,Answer_Information_Quality,Answer_Novelty,Answer_Previous_Available,Answer_Signal_1D,Answer_Signal_3D,Answer_Signal_5D,Answer_Quality_Adjusted_Signal_1D,Answer_Quality_Adjusted_Signal_3D,Answer_Quality_Adjusted_Signal_5D,Answer_Novelty_Adjusted_Signal_1D,Answer_Novelty_Adjusted_Signal_3D,Answer_Novelty_Adjusted_Signal_5D,Model,Prompt_Version,Processor_Version,Processed_At_UTC,Snapshot_SHA256,Answer_SHA256,Snapshot_Path,Answer_Path,Previous_Answer_Path,Previous_Answer_SHA256,News_Input_Truncated,Answer_Input_Truncated,Previous_Answer_Input_Truncated,Feature_JSON_Path
2026-07-15,AAPL,Apple Inc.,Information Technology,True,-0.2,-0.3,-0.2,0.0,0.7,0.5,0.8,litigation,12,-0.13999999999999999,-0.168,-0.11199999999999999,0.0,-0.084,-0.055999999999999994,0.0,True,0.2,0.3,0.3,0.55,0.6,0.4,0.3,0.7,0.0,False,0.11000000000000001,0.165,0.165,0.077,0.11549999999999999,0.11549999999999999,0.0,0.0,0.0,gpt-oss-120b,financial_features,llm_feature_extractor_v1,2026-09-14T13:30:49.478288+00:00,0e3486059137089d5abbd9f7bc66f89a02d5f2f8db94b237cb8e656af12a85b0,8ed957aed9264419546baa3a62c2e6946a54cef50ec8d0bb2d6a112f27a5f069,/mnt/primary/Finnhub Pipeline/finnhub_snapshots_filtered/2026-07-15/Apple Inc_AAPL_snapshot.json,/mnt/primary/Finnhub Pipeline/finnhub_answers/2026-07-15/Apple Inc_answer_2026-07-15.txt,,,False,False,False,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AAPL_features.json
2026-07-15,ABNB,Airbnb,Consumer Discretionary,True,0.35,0.2,0.25,0.2,0.78,0.68,0.6,analyst_rating,13,0.27299999999999996,0.09360000000000002,0.11699999999999999,0.09360000000000002,0.06364800000000001,0.07956,0.06364800000000001,True,0.2,0.3,0.3,0.5,0.6,0.3,0.4,0.6,0.0,False,0.1,0.15,0.15,0.06,0.09,0.09,0.0,0.0,0.0,gpt-oss-120b,financial_features,llm_feature_extractor_v1,2026-09-14T13:30:16.112031+00:00,50a231e91f7c2cbfa196511893796013b5707f3374bb5188683b344624963d5b,d72617050fef4ab54cb2d902f1f8937dae65c84993833dbef4b4945c1f393b5b,/mnt/primary/Finnhub Pipeline/finnhub_snapshots_filtered/2026-07-15/Airbnb_ABNB_snapshot.json,/mnt/primary/Finnhub Pipeline/finnhub_answers/2026-07-15/Airbnb_answer_2026-07-15.txt,,,False,False,False,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/ABNB_features.json
2026-07-15,ACN,Accenture,Information Technology,True,0.2,0.2,0.15,0.1,0.6,0.7,0.5,partnership,5,0.12,0.06,0.045,0.03,0.041999999999999996,0.0315,0.020999999999999998,True,0.1,0.15,0.2,0.6,0.3,0.2,0.3,0.85,0.0,False,0.06,0.09,0.12,0.051,0.0765,0.102,0.0,0.0,0.0,gpt-oss-120b,financial_features,llm_feature_extractor_v1,2026-09-14T13:29:30.610301+00:00,679210041121524a961158ea968330d2da0c4114810fb77eb26e1a02f987aa06,59c5cb99bed062d320d2be8136321e6bc19045895bcafb2646721e823e7701a0,/mnt/primary/Finnhub Pipeline/finnhub_snapshots_filtered/2026-07-15/Accenture_ACN_snapshot.json,/mnt/primary/Finnhub Pipeline/finnhub_answers/2026-07-15/Accenture_answer_2026-07-15.txt,,,False,False,False,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/ACN_features.json
2026-07-15,ADBE,Adobe Inc.,Information Technology,True,0.3,0.1,0.15,0.2,0.6,0.8,0.8,merger_acquisition,11,0.18,0.048,0.072,0.096,0.038400000000000004,0.0576,0.07680000000000001,True,0.0,0.0,0.0,0.4,0.7,0.6,0.3,0.7,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gpt-oss-120b,financial_features,llm_feature_extractor_v1,2026-09-14T13:29:03.567153+00:00,eb4d64005b9e0dacbb77efcc2124e23d4380f48c4d8c772363e1254ccb77b950,9e1da45e448fc63c41d401a87f48076267f687a6d6234bf4696e94e6f921a4d1,/mnt/primary/Finnhub Pipeline/finnhub_snapshots_filtered/2026-07-15/Adobe Inc_ADBE_snapshot.json,/mnt/primary/Finnhub Pipeline/finnhub_answers/2026-07-15/Adobe Inc_answer_2026-07-15.txt,,,False,False,False,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/ADBE_features.json
2026-07-15,AEP,American Electric Power,Utilities,True,0.6,0.4,0.5,0.5,0.85,0.8,0.9,financing,3,0.51,0.30600000000000005,0.3825,0.3825,0.24480000000000005,0.30600000000000005,0.30600000000000005,True,0.1,0.15,0.15,0.4,0.2,0.2,0.3,0.5,0.0,False,0.04000000000000001,0.06,0.06,0.020000000000000004,0.03,0.03,0.0,0.0,0.0,gpt-oss-120b,financial_features,llm_feature_extractor_v1,2026-09-14T13:30:19.855201+00:00,a29880815182d80d94806443976656cebf5ecfb2598ee9a9cc9d55a6b80b022a,6586cefd6f5f7bd1463450014fb2d5ab42a0ffad713e35407b3bf10f67268a1a,/mnt/primary/Finnhub Pipeline/finnhub_snapshots_filtered/2026-07-15/American Electric Power_AEP_snapshot.json,/mnt/primary/Finnhub Pipeline/finnhub_answers/2026-07-15/American Electric Power_answer_2026-07-15.txt,,,False,False,False,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AEP_features.json
2026-07-15,AES,AES Corporation,Utilities,True,-0.6,-0.4,-0.5,-0.5,0.6,0.7,0.8,earnings,1,-0.36,-0.192,-0.24,-0.24,-0.1344,-0.16799999999999998,-0.16799999999999998,True,0.2,0.2,0.15,0.3,0.0,0.0,0.5,0.4,0.0,False,0.06,0.06,0.045,0.024,0.024,0.018,0.0,0.0,0.0,gpt-oss-120b,financial_features,llm_feature_extractor_v1,2026-09-14T13:28:51.184129+00:00,524aa2e835862047e64ef68551619ad22c2c75ede851415deb2db970b1c1bd2c,2608bb43fe5657ab3027e6aaad125ecd206a172840ed6b73c04b2634aede072b,/mnt/primary/Finnhub Pipeline/finnhub_snapshots_filtered/2026-07-15/AES Corporation_AES_snapshot.json,/mnt/primary/Finnhub Pipeline/finnhub_answers/2026-07-15/AES Corporation_answer_2026-07-15.txt,,,False,False,False,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AES_features.json
2026-07-15,AFL,Aflac,Financials,True,0.3,0.2,0.15,0.1,0.6,0.4,0.3,analyst_rating,5,0.18,0.036,0.027,0.018,0.0144,0.0108,0.0072,True,-0.15,-0.25,-0.2,0.3,0.4,0.2,0.5,0.4,0.0,False,-0.045,-0.075,-0.06,-0.018,-0.03,-0.024,-0.0,-0.0,-0.0,gpt-oss-120b,financial_features,llm_feature_extractor_v1,2026-09-14T13:28:54.966540+00:00,b77571b0e5510894be255df2ed3d62a6c7a872d7605bd40831a33a83e484d23b,2023fcd36c2830d1cd0026b053509e4b78876d439d5d445871459e96445661c5,/mnt/primary/Finnhub Pipeline/finnhub_snapshots_filtered/2026-07-15/Aflac_AFL_snapshot.json,/mnt/primary/Finnhub Pipeline/finnhub_answers/2026-07-15/Aflac_answer_2026-07-15.txt,,,False,False,False,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AFL_features.json
2026-07-15,AIG,American International Group,Financials,True,0.4,0.2,0.3,0.3,0.6,0.2,0.5,analyst_rating,10,0.24,0.06,0.09,0.09,0.012,0.018,0.018,True,0.2,0.3,0.3,0.5,0.2,0.2,0.4,0.6,0.0,False,0.1,0.15,0.15,0.06,0.09,0.09,0.0,0.0,0.0,gpt-oss-120b,financial_features,llm_feature_extractor_v1,2026-09-14T13:30:23.015021+00:00,89cb7f6318821c996f4d63a887a18617209be397c88d873ebce1b41cc2d17460,f1339cca04f539619bd985e69961962b6367b96e134ed847e39e81a045690320,/mnt/primary/Finnhub Pipeline/finnhub_snapshots_filtered/2026-07-15/American International Group_AIG_snapshot.json,/mnt/primary/Finnhub Pipeline/finnhub_answers/2026-07-15/American International Group_answer_2026-07-15.txt,,,False,False,False,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AIG_features.json
2026-07-15,AMZN,Amazon,Consumer Discretionary,True,0.0,0.0,0.0,0.0,0.55,0.7,0.85,financing,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.5,0.6,0.2,0.5,0.7,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gpt-oss-120b,financial_features,llm_feature_extractor_v1,2026-09-14T13:30:23.316592+00:00,725f0a699827ba160c2136fe3e710305514b89f854a1dd5530b0c6f6d4653f0b,523ef9cd2faf42b1decd94a0888d90284753547f1eedbcef0cb9c9c2c16936a4,/mnt/primary/Finnhub Pipeline/finnhub_snapshots_filtered/2026-07-15/Amazon_AMZN_snapshot.json,/mnt/primary/Finnhub Pipeline/finnhub_answers/2026-07-15/Amazon_answer_2026-07-15.txt,,,False,False,False,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AMZN_features.json
2026-07-15,AOS,A. O. Smith,Industrials,True,0.15,0.1,0.07,0.03,0.55,0.15,0.35,capital_return,2,0.0825,0.01925,0.013475,0.005775,0.0028875,0.00202125,0.0008662499999999999,True,-0.1,-0.1,-0.05,0.35,0.0,0.1,0.5,0.4,0.0,False,-0.034999999999999996,-0.034999999999999996,-0.017499999999999998,-0.013999999999999999,-0.013999999999999999,-0.006999999999999999,-0.0,-0.0,-0.0,gpt-oss-120b,financial_features,llm_feature_extractor_v1,2026-09-14T13:29:03.973948+00:00,6ae0c51c64e21dabec2c184c3ef9654eb8abab1053b7f543889f994021bd4e9d,9a57a758f38aa7e64f9cbdf7a234fd12dcef2563173751f463ab1409a66dd4c8,/mnt/primary/Finnhub Pipeline/finnhub_snapshots_filtered/2026-07-15/A. O. Smith_AOS_snapshot.json,/mnt/primary/Finnhub Pipeline/finnhub_answers/2026-07-15/A. O. Smith_answer_2026-07-15.txt,,,False,False,False,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AOS_features.json
