Date,Symbol,Company,Status,Reason,Output_Path,News_Available,News_Articles,Answer_Available,Snapshot_Path,Error
2026-07-15,AAPL,Apple Inc.,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AAPL_features.json,,,,,
2026-07-15,ABNB,Airbnb,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/ABNB_features.json,,,,,
2026-07-15,ACN,Accenture,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/ACN_features.json,,,,,
2026-07-15,ADBE,Adobe Inc.,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/ADBE_features.json,,,,,
2026-07-15,AEP,American Electric Power,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AEP_features.json,,,,,
2026-07-15,AES,AES Corporation,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AES_features.json,,,,,
2026-07-15,AFL,Aflac,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AFL_features.json,,,,,
2026-07-15,AIG,American International Group,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AIG_features.json,,,,,
2026-07-15,AMZN,Amazon,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AMZN_features.json,,,,,
2026-07-15,AOS,A. O. Smith,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AOS_features.json,,,,,
2026-07-15,APA,APA Corporation,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/APA_features.json,,,,,
2026-07-15,APD,Air Products,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/APD_features.json,,,,,
2026-07-15,APO,Apollo Global Management,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/APO_features.json,,,,,
2026-07-15,AXP,American Express,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/AXP_features.json,,,,,
2026-07-15,BA,Boeing,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/BA_features.json,,,,,
2026-07-15,BKNG,Booking Holdings,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/BKNG_features.json,,,,,
2026-07-15,BKR,Baker Hughes,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/BKR_features.json,,,,,
2026-07-15,BR,Broadridge Financial Solutions,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/BR_features.json,,,,,
2026-07-15,CARR,Carrier Global,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CARR_features.json,,,,,
2026-07-15,CASY,Casey's,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CASY_features.json,,,,,
2026-07-15,CAT,Caterpillar Inc.,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CAT_features.json,,,,,
2026-07-15,CBRE,CBRE Group,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CBRE_features.json,,,,,
2026-07-15,CEG,Constellation Energy,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CEG_features.json,,,,,
2026-07-15,CHRW,C.H. Robinson,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CHRW_features.json,,,,,
2026-07-15,CI,Cigna,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CI_features.json,,,,,
2026-07-15,CL,Colgate-Palmolive,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CL_features.json,,,,,
2026-07-15,COO,Cooper Companies (The),skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/COO_features.json,,,,,
2026-07-15,COP,ConocoPhillips,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/COP_features.json,,,,,
2026-07-15,COST,Costco,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/COST_features.json,,,,,
2026-07-15,CSCO,Cisco,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CSCO_features.json,,,,,
2026-07-15,CSGP,CoStar Group,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CSGP_features.json,,,,,
2026-07-15,CTAS,Cintas,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CTAS_features.json,,,,,
2026-07-15,CTSH,Cognizant,skipped,already_complete,/mnt/primary/Finnhub Pipeline/llm_financial_features/daily_json/2026-07-15/CTSH_features.json,,,,,
