Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",03-04-2006,1652044,1998
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",30-11-1983,732717,1983 (1885)
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",22-07-2002,712515,1982
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",23-12-2013,1326801,2004
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",20-12-2010,1065280,1997
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",31-12-1997,29989,1986
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",19-03-2018,946581,1993
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",30-06-1976,1744489,1923
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",11-04-2022,1437107,2022 (Warner Bros. 1923)
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",18-09-2023,1559720,2008
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",18-11-2005,1018724,1994
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",06-11-2009,1075531,1996
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California",24-03-2025,1792789,2012
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",30-11-1988,320187,1964
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",02-02-2007,1037038,1967
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",07-06-2000,829224,1971
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",01-09-2004,1116132,2017
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",21-12-2020,1318605,2003
CASY,Casey's,Consumer Staples,Food Retail,"Ankeny, Iowa",09-04-2026,726958,1967
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",04-03-1957,21344,1886
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",04-03-1957,21665,1806
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",01-10-1993,909832,1976
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",03-12-2012,29534,1939
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",04-03-1957,40704,1856
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",04-03-1957,77476,1898
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",31-12-1976,27419,1902
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",31-08-1982,104169,1962
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",28-07-1997,1841666,1954
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",07-07-2017,1701605,2017
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"Houston, Texas",04-03-1957,93410,1879
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",04-03-1957,1163165,2002
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",30-08-2000,1090012,1971
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",03-12-2018,1539838,2007
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",02-11-2000,821189,1999
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",24-03-2025,895126,1989
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",31-03-1975,107263,1908
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",28-05-1999,4977,1955
AXP,American Express,Financials,Consumer Finance,"New York City, New York",30-06-1976,4962,1850
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",31-03-1980,5272,1919
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",23-12-2024,1858681,1990
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",22-07-2002,886982,1869
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",30-06-1975,19617,2000 (1799 / 1871)
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",20-07-2015,1633917,1998
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",21-12-2009,1403161,1958
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",30-06-1976,72971,1852
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",30-06-1976,1739940,1982
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",23-09-2016,711404,1958
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",04-03-1957,64803,1996
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",18-11-1998,313616,1969
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",31-07-2008,927066,1979
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",12-05-2020,1093557,1999
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",01-04-2011,1099800,1958
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",04-01-2023,1932393,1994
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",01-07-2004,882095,1987
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",04-03-1957,66740,1902
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",26-07-2017,91142,1916
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",04-03-1957,12927,1916
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",18-06-2018,1383312,1962
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",02-03-2007,1043277,1905
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",03-04-2020,1783180,"2020 (1915, United Technologies spinoff)"
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",04-03-1957,18230,1925
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",01-03-2001,723254,1929
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",01-11-2011,1524472,2011
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06-07-2011,1467373,1989
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",05-05-1997,796343,1982
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30-11-1982,320193,1977
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",01-12-1993,858877,1984
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17-11-2006,1058290,1994
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",02-11-2015,1645590,2015
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",28-11-2025,2023554,1988
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",21-11-2019,1373715,2003
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",01-07-2009,106040,1970
WDAY,"Workday, Inc.",Information Technology,Application Software,"Pleasanton, California",23-12-2024,1327811,2005
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",30-04-1985,2969,1940
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",03-06-2019,1755672,2019
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",31-03-1976,51253,1958 (1889)
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",04-03-1957,51434,1898
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",05-09-2012,1489393,2007
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",02-07-2014,916076,1993
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",26-09-2011,1285785,2004 (1865 / 1909)
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",08-07-2024,2005951,1934
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",22-12-2022,1022671,1993
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",30-06-1999,1396009,1909
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",10-11-2006,1138118,1906
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",19-09-2022,1057352,1987
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Portsmouth, New Hampshire",06-01-2009,1020569,1951
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",04-04-2006,879101,1958
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",02-12-2016,912595,1977
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",04-03-2009,740260,1998
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",30-01-2009,766704,1970
