company_name,ticker,status,question_count,answer_file,snapshot_file,error
Alphabet Inc. (Class A),GOOGL,completed,30,/mnt/primary/answers/2026-07-15/Alphabet Inc. (Class A)_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Alphabet Inc. (Class A)_GOOGL_snapshot.json,
AT&T,T,completed,30,/mnt/primary/answers/2026-07-15/AT&T_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/AT&T_T_snapshot.json,
Electronic Arts,EA,completed,30,/mnt/primary/answers/2026-07-15/Electronic Arts_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Electronic Arts_EA_snapshot.json,
Meta Platforms,META,completed,30,/mnt/primary/answers/2026-07-15/Meta Platforms_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Meta Platforms_META_snapshot.json,
Netflix,NFLX,completed,30,/mnt/primary/answers/2026-07-15/Netflix_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Netflix_NFLX_snapshot.json,
Omnicom Group,OMC,completed,30,/mnt/primary/answers/2026-07-15/Omnicom Group_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Omnicom Group_OMC_snapshot.json,
Take-Two Interactive,TTWO,completed,30,/mnt/primary/answers/2026-07-15/Take-Two Interactive_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Take-Two Interactive_TTWO_snapshot.json,
Walt Disney Company (The),DIS,completed,30,/mnt/primary/answers/2026-07-15/Walt Disney Company (The)_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Walt Disney Company (The)_DIS_snapshot.json,
Warner Bros. Discovery,WBD,completed,30,/mnt/primary/answers/2026-07-15/Warner Bros. Discovery_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Warner Bros. Discovery_WBD_snapshot.json,
Airbnb,ABNB,completed,30,/mnt/primary/answers/2026-07-15/Airbnb_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Airbnb_ABNB_snapshot.json,
Amazon,AMZN,completed,30,/mnt/primary/answers/2026-07-15/Amazon_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Amazon_AMZN_snapshot.json,
Booking Holdings,BKNG,completed,30,/mnt/primary/answers/2026-07-15/Booking Holdings_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Booking Holdings_BKNG_snapshot.json,
DoorDash,DASH,completed,30,/mnt/primary/answers/2026-07-15/DoorDash_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/DoorDash_DASH_snapshot.json,
"Nike, Inc.",NKE,completed,30,"/mnt/primary/answers/2026-07-15/Nike, Inc_answer_2026-07-15.txt","/mnt/primary/finnhub_snapshots/2026-07-15/Nike, Inc_NKE_snapshot.json",
Ralph Lauren Corporation,RL,completed,30,/mnt/primary/answers/2026-07-15/Ralph Lauren Corporation_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Ralph Lauren Corporation_RL_snapshot.json,
Starbucks,SBUX,completed,30,/mnt/primary/answers/2026-07-15/Starbucks_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Starbucks_SBUX_snapshot.json,
"Tapestry, Inc.",TPR,completed,30,"/mnt/primary/answers/2026-07-15/Tapestry, Inc_answer_2026-07-15.txt","/mnt/primary/finnhub_snapshots/2026-07-15/Tapestry, Inc_TPR_snapshot.json",
"Tesla, Inc.",TSLA,completed,30,"/mnt/primary/answers/2026-07-15/Tesla, Inc_answer_2026-07-15.txt","/mnt/primary/finnhub_snapshots/2026-07-15/Tesla, Inc_TSLA_snapshot.json",
Casey's,CASY,completed,30,/mnt/primary/answers/2026-07-15/Casey's_answer_2026-07-15.txt,/mnt/primary/finnhub_snapshots/2026-07-15/Casey's_CASY_snapshot.json,
